t(sec)	BaseTemp(C)	D1C(A)	D2C(A)	D1T(C)	D2T(C)	VT(C)	LBOT(C)	ET(C)	Power(W)
5619.3	 31.87	 45.5	 45.8	  25.6	  22.9	   30.0	  147.7	  51.0	3652.0
5639.6	 31.86	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3651.0
5659.9	 31.86	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3651.0
5680.2	 31.87	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3653.0
5700.5	 31.87	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3652.0
5720.8	 31.89	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3648.0
5741.1	 31.89	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3649.0
5761.4	 31.89	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3648.0
5781.6	 31.89	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3647.0
5801.9	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3649.0
5822.2	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3651.0
5842.5	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3650.0
5862.7	 31.89	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3648.0
5883.1	 31.89	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3647.0
5903.3	 31.89	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3650.0
5923.6	 31.89	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  50.9	3644.0
5943.8	 31.89	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3646.0
5964.1	 31.89	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3653.0
5984.4	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3646.0
6004.7	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3644.0
6025.0	 31.89	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3646.0
6045.2	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3649.0
6065.5	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3646.0
6085.8	 31.90	 45.5	 46.0	  25.6	  22.9	   30.0	  147.7	  51.0	3645.0
6106.1	 31.90	 45.3	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3661.0
6126.4	 31.90	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3659.0
6146.7	 31.90	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3657.0
6166.9	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3658.0
6187.2	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.0	3658.0
6207.5	 31.89	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3650.0
6227.8	 31.89	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3656.0
6248.1	 31.89	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3658.0
6268.3	 31.90	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  50.9	3656.0
6288.6	 31.90	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3658.0
6308.8	 31.89	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3657.0
6329.1	 31.89	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.0	3656.0
6349.4	 31.92	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3655.0
6369.6	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3655.0
6389.9	 31.90	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.1	3655.0
6410.2	 31.90	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3658.0
6430.4	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3656.0
6450.7	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3657.0
6471.0	 31.92	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3658.0
6491.2	 31.93	 45.5	 45.8	  25.6	  22.9	   30.0	  147.7	  51.0	3654.0
6511.5	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3655.0
6531.8	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3653.0
6552.1	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3657.0
6572.4	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3654.0
6592.7	 31.92	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  50.9	3656.0
6612.9	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3651.0
6633.2	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.1	3656.0
6653.5	 31.92	 45.4	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3656.0
6673.8	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3655.0
6694.1	 31.90	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3658.0
6714.4	 31.90	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.1	3658.0
6734.7	 31.90	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.1	3655.0
6755.0	 31.92	 45.4	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3656.0
6775.2	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3657.0
6795.5	 31.90	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.0	3655.0
6815.8	 31.90	 45.4	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3657.0
6836.1	 31.90	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3654.0
6856.4	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3654.0
6876.7	 31.90	 45.4	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3655.0
6897.0	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3654.0
6917.2	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  50.9	3650.0
6937.5	 31.92	 45.5	 45.8	  25.6	  22.9	   30.0	  147.7	  50.9	3654.0
6957.8	 31.90	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.1	3656.0
6978.1	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3653.0
6998.4	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  50.9	3652.0
7018.7	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3653.0
7039.0	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3658.0
7059.2	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3653.0
7079.5	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3653.0
7099.8	 31.90	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.0	3656.0
7120.1	 31.90	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3655.0
7140.4	 31.90	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3654.0
7160.6	 31.90	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3658.0
7180.9	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.1	3652.0
7201.2	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3651.0
7221.6	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  50.9	3656.0
7241.8	 31.90	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3656.0
7262.1	 31.90	 45.4	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3650.0
7282.4	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3652.0
7302.7	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3651.0
7323.0	 31.92	 45.4	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3656.0
7343.3	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3656.0
7363.6	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3653.0
7383.8	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  50.9	3650.0
7404.1	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3654.0
7424.4	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3648.0
7444.7	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3652.0
7464.9	 31.92	 45.4	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3655.0
7485.2	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3655.0
7505.5	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3649.0
7525.8	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3651.0
7546.1	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3656.0
7566.3	 31.92	 45.4	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3656.0
7586.6	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3652.0
7606.9	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3648.0
7627.2	 31.94	 45.5	 45.8	  25.6	  22.9	   30.0	  147.7	  51.1	3654.0
7647.5	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3648.0
7667.8	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3653.0
7688.0	 31.93	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3656.0
7708.3	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.1	3652.0
7728.6	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3651.0
7748.9	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3654.0
7769.2	 31.93	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3653.0
7789.5	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3647.0
7809.7	 31.93	 45.5	 45.8	  25.6	  22.9	   30.0	  147.7	  50.9	3652.0
7830.0	 31.93	 45.4	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3651.0
7850.3	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3655.0
7870.6	 31.92	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3647.0
7890.9	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3651.0
7911.2	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3655.0
7931.5	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3653.0
7951.8	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3652.0
7972.0	 31.93	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3654.0
7992.3	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3654.0
8012.6	 31.93	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3645.0
8032.9	 31.93	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  50.9	3652.0
8053.2	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.1	3651.0
8073.4	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3653.0
8093.7	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3650.0
8114.0	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3653.0
8134.3	 31.90	 45.4	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3655.0
8154.6	 31.90	 45.4	 45.9	  25.6	  22.9	   30.0	  147.7	  51.1	3653.0
8174.9	 31.89	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3652.0
8195.2	 31.89	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  50.9	3647.0
8215.4	 31.92	 45.4	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3654.0
8235.7	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3653.0
8256.0	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3650.0
8276.2	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3651.0
8296.5	 31.90	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3655.0
8316.8	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3653.0
8337.1	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3650.0
8357.4	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3651.0
8377.7	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3655.0
8398.0	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3650.0
8418.2	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3651.0
8438.5	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3651.0
8458.8	 31.92	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3653.0
8479.1	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3653.0
8499.4	 31.90	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3650.0
8519.7	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3654.0
8540.0	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3649.0
8560.2	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3649.0
8580.5	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3651.0
8600.8	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3654.0
8621.1	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3650.0
8641.3	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3646.0
8661.6	 31.94	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3653.0
8681.9	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3652.0
8702.1	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  50.9	3645.0
8722.4	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3652.0
8742.7	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3651.0
8763.0	 31.93	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3652.0
8783.3	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3650.0
8803.5	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  50.9	3647.0
8823.8	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3651.0
8844.1	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3654.0
8864.3	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3650.0
8884.7	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3645.0
8905.0	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3654.0
8925.2	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3654.0
8945.5	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3650.0
8965.8	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3647.0
8986.0	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3651.0
9006.3	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3652.0
9026.5	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.1	3651.0
9046.8	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3648.0
9067.1	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3650.0
9087.4	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3650.0
9107.7	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3647.0
9128.0	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3643.0
9148.3	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3652.0
9168.5	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3650.0
9188.8	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3649.0
9209.1	 31.94	 45.4	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3648.0
9229.3	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3651.0
9249.6	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3645.0
9269.9	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3647.0
9290.2	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3648.0
9310.5	 31.93	 45.5	 45.8	  25.6	  22.9	   30.0	  147.7	  51.1	3649.0
9330.7	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3646.0
9351.0	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3650.0
9371.3	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3651.0
9391.6	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3648.0
9411.9	 31.94	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  50.9	3641.0
9432.2	 31.96	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3642.0
9452.4	 31.96	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3646.0
9472.7	 31.97	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.1	3646.0
9493.0	 31.97	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3645.0
9513.3	 31.94	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3651.0
9533.6	 31.94	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3649.0
9553.9	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3646.0
9574.2	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3649.0
9594.4	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3648.0
9614.7	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3645.0
9635.0	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3646.0
9655.3	 31.94	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3649.0
9675.6	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3641.0
9695.9	 31.94	 45.5	 46.0	  25.6	  22.9	   30.0	  147.8	  50.9	3643.0
9716.2	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3645.0
9736.5	 31.96	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3648.0
9756.8	 31.96	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3644.0
9777.1	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3646.0
9797.4	 31.94	 45.5	 46.0	  25.6	  22.9	   30.0	  147.8	  51.0	3647.0
9817.7	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3643.0
9838.0	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3643.0
9858.2	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.1	3644.0
9878.5	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3644.0
9898.8	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3640.0
9919.2	 31.92	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3651.0
9939.5	 31.92	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3640.0
9959.8	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3643.0
9980.0	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3646.0
10000.3	 31.96	 45.5	 45.8	  25.6	  22.9	   30.0	  147.7	  51.1	3645.0
10020.6	 31.96	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3644.0
10040.9	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3643.0
10061.2	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.1	3646.0
10081.5	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3641.0
10101.8	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3645.0
10122.1	 31.94	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3645.0
10142.3	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3643.0
10162.6	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3647.0
10182.9	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3642.0
10203.2	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3647.0
10223.5	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3648.0
10243.7	 31.94	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3648.0
10264.0	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  51.0	3644.0
10284.3	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.7	  50.9	3635.0
10304.6	 31.93	 45.5	 45.8	  25.6	  22.9	   30.0	  147.7	  51.1	3648.0
10324.9	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.1	3649.0
10345.2	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  50.9	3641.0
10365.6	 31.93	 45.5	 45.8	  25.6	  22.9	   30.0	  147.8	  50.9	3648.0
10385.9	 31.93	 45.4	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3648.0
10406.1	 31.93	 45.5	 45.9	  25.6	  22.9	   30.0	  147.8	  51.0	3641.0
10426.4	 31.93	 45.6	 46.0	  25.6	  22.9	   30.0	  147.8	  50.9	3638.0
10446.7	 31.92	 45.3	 45.7	  25.6	  22.9	   30.0	  147.7	  51.1	3659.0
10467.0	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.0	3652.0
10487.3	 31.94	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3653.0
10507.6	 31.94	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.1	3652.0
10527.8	 31.94	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3653.0
10548.1	 31.96	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  50.9	3648.0
10568.4	 31.96	 45.3	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3653.0
10588.7	 31.94	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.1	3654.0
10609.0	 31.94	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3653.0
10629.3	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  50.9	3653.0
10649.5	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3654.0
10669.8	 31.94	 45.3	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3654.0
10690.1	 31.94	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3645.0
10710.4	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  50.9	3651.0
10730.6	 31.94	 45.3	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3655.0
10750.9	 31.94	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3650.0
10771.2	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.1	3652.0
10791.5	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  50.9	3653.0
10811.8	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  50.9	3651.0
10832.1	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.1	3653.0
10852.3	 31.94	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3650.0
10872.6	 31.94	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  50.9	3646.0
10892.9	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  50.9	3655.0
10913.2	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3651.0
10933.5	 31.94	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.1	3653.0
10953.7	 31.94	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.0	3650.0
10974.0	 31.94	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  50.9	3650.0
10994.3	 31.93	 45.3	 45.8	  25.6	  22.9	   30.0	  147.7	  51.0	3652.0
11014.6	 31.93	 45.3	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3648.0
11034.9	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  51.0	3648.0
11055.1	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3651.0
11075.4	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3654.0
11095.7	 31.93	 45.3	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3654.0
11116.0	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3653.0
11136.3	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.7	  50.9	3648.0
11156.6	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  50.9	3653.0
11176.9	 31.93	 45.3	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3651.0
11197.2	 31.93	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.1	3652.0
11217.4	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  51.0	3651.0
11237.7	 31.92	 45.4	 45.8	  25.6	  22.9	   30.0	  147.8	  50.9	3655.0
